datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,369.49,86.87,158.97,247.83,294.42,321.26,351.51,386.91,408.85,427.24,446.98,472.54,474.01,474.56,478.8,480.26,486.72,495.79,500.01,504.39,521.47,557.8
1,411.6,74.62,203.33,308.97,347.77,378.33,404.05,424.2,441.94,456.47,473.99,499.57,500.6,503.48,506.43,508.03,516.58,519.96,522.52,531.15,540.32,573.42
2,429.87,65.2,236.1,331.47,380.65,408.16,428.33,439.46,453.98,466.64,482.91,503.87,507.12,512.24,514.55,517.25,519.22,522.69,526.1,532.51,540.44,581.53
3,426.45,63.31,165.13,333.18,376.02,408.4,426.47,438.68,450.43,462.21,480.77,497.52,499.98,503.19,505.78,507.74,509.12,514.25,517.06,520.22,535.34,545.1
4,424.99,65.34,147.58,331.18,364.47,400.2,421.89,436.3,451.82,466.96,480.16,500.36,503.11,504.28,505.99,509.13,511.43,513.84,518.49,522.9,527.0,534.75
5,426.33,69.98,129.81,324.75,360.43,390.1,414.84,435.07,458.04,475.13,491.01,508.1,509.34,511.05,512.01,513.67,517.42,519.5,520.89,525.47,535.05,555.49
6,426.36,72.16,124.42,329.58,354.97,380.61,408.87,443.07,460.89,476.91,493.77,512.09,513.77,515.25,516.5,521.46,523.38,527.27,528.86,538.8,544.36,563.86
7,428.53,71.32,134.51,329.09,360.43,389.17,414.01,443.23,463.53,479.17,494.31,508.96,509.79,511.84,515.14,519.77,523.99,526.81,530.55,535.32,537.96,562.31
8,430.56,72.57,143.94,329.96,362.06,386.56,414.03,444.38,467.19,483.58,496.81,512.38,513.96,516.51,517.36,521.08,521.94,529.13,534.74,541.65,546.07,558.69
9,432.8,72.48,217.73,331.4,364.98,391.48,415.46,447.12,467.14,486.67,500.23,516.34,519.18,521.22,524.89,527.17,530.39,532.43,536.71,538.96,545.47,564.28
10,433.74,71.93,223.07,329.68,369.45,391.58,415.43,446.44,470.78,487.43,501.24,519.22,521.05,521.72,522.7,525.76,527.68,531.83,534.87,538.98,545.81,559.12
11,434.44,70.78,231.15,331.14,369.09,394.61,419.69,448.65,470.69,486.34,500.71,516.67,518.09,519.22,522.96,525.21,526.0,528.27,532.52,539.47,543.01,561.82
12,435.58,69.13,222.98,337.69,370.22,397.71,422.73,447.62,468.94,482.75,499.51,517.6,518.33,521.61,523.08,524.11,525.28,529.73,531.71,538.75,546.05,559.46
13,432.7,68.31,213.81,330.47,376.3,401.01,419.91,441.99,463.94,474.24,492.55,514.01,517.02,519.16,520.85,523.02,527.09,529.3,535.9,537.67,549.12,580.56
14,406.01,87.31,172.24,268.02,328.37,374.44,405.31,427.07,445.49,464.66,481.21,501.16,503.15,506.88,510.49,513.7,515.57,520.92,524.19,535.7,541.84,580.81
15,358.22,83.3,141.13,236.13,282.18,319.98,347.63,372.25,395.03,412.43,427.49,452.91,456.68,460.08,463.34,468.13,470.09,474.32,483.8,495.71,511.93,536.39
16,324.12,74.39,143.67,223.17,259.57,292.25,313.8,328.77,347.29,363.3,380.05,413.19,416.66,421.97,425.4,428.25,438.75,448.96,456.48,469.27,506.08,546.88
17,312.09,74.23,139.37,212.79,243.38,279.36,298.3,315.8,331.31,348.32,368.04,405.0,409.47,415.4,421.83,428.65,435.74,443.55,458.18,469.13,491.9,540.17
18,308.81,74.09,138.26,209.32,240.9,277.45,292.41,309.68,325.29,345.1,367.35,397.57,402.64,408.24,418.3,432.32,440.0,444.6,449.61,464.08,503.48,556.15
19,307.49,73.68,132.33,209.5,238.64,273.43,292.09,313.27,328.05,341.0,359.98,394.63,400.03,405.29,410.4,427.99,436.66,442.65,454.28,473.14,496.22,527.95
20,305.62,74.38,130.11,206.81,235.88,267.88,291.61,310.45,323.86,340.83,364.79,392.42,396.71,403.49,411.96,423.19,433.78,442.09,455.64,475.16,483.13,544.46
21,307.25,74.75,122.11,205.29,240.93,265.61,289.84,313.02,326.52,347.52,371.7,394.75,397.55,399.73,418.22,423.81,431.89,438.66,446.15,471.33,479.56,523.71
22,313.14,75.48,123.64,208.6,240.55,271.39,299.07,318.59,337.26,357.28,378.67,407.58,408.61,409.75,413.69,423.05,429.82,435.95,448.44,455.87,480.3,506.07
23,329.03,76.91,137.25,220.77,258.86,294.34,315.67,338.25,357.25,376.4,396.97,420.99,428.92,432.0,435.04,436.65,441.88,444.09,456.07,463.3,473.35,504.39
